id;Name;SMILE;Taste;Reference;Note
2608;nan;OC[C@@H]1O[C@@H](O)[C@@H]([C@@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2609;nan;OC[C@@H]1O[C@@H](O)[C@@H]([C@@H]([C@@H]1O[C@@H]1O[C@@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2610;nan;OC[C@H]1O[13C@@H](O)[C@@H]([C@H]([C@H]1O)O)O;Sweet;SuperSweet_BitterSweet;none
2611;nan;OC[C@H]1O[C@@H](O)[C@@H]([13C@H]([C@@H]1O)O)O;Sweet;SuperSweet_BitterSweet;none
2612;nan;OC[C@H]1O[C@H](O)[C@H]([C@H](C1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2613;nan;O[13CH2][C@H]1O[13CH](O)[C@@H]([C@H]([C@@H]1O)O)O;Sweet;SuperSweet_BitterSweet;none
2614;nan;O[13CH2][C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2615;nan;O[14CH2][C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2616;nan;O=C1C=C(C)OS(=O)(=O)N1.COC(=O)[C@H](NC(=O)[C@@H](CC(=O)O)N)Cc1ccccc1;Sweet;SuperSweet_BitterSweet;none
2617;Osladin;OC[C@H]1O[C@@H](O[C@@H]2CC[C@]3([C@@H](C2)C(=O)C[C@H]2[C@H]3CC[C@]3([C@@H]2CCC3[C@@H]([C@H]2CC[C@@H]([C@H](O2)O[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)C)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O;Sweet;SuperSweet_BitterSweet;none
2618;Oxime V;COCC1=CCC(=CC1)/C=N/O;Sweet;SuperSweet_BitterSweet;none
2619;Phyllodulcin;COc1ccc(cc1O)[C@@H]1OC(=O)c2c(C1)cccc2O;Sweet;SuperSweet_BitterSweet;none
2620;POTASSIUM CYCLAMATE;[O-]S(=O)(=O)NC1CCCCC1.[K+];Sweet;SuperSweet_BitterSweet;none
2621;SACCHARIN SODIUM;[O-]C1=NS(=O)(=O)c2c1cccc2.O.O.[Na+];Sweet;SuperSweet_BitterSweet;none
2622;SACCHARIN SODIUM;O=C1NS(=O)(=O)c2c1cccc2.[Na];Sweet;SuperSweet_BitterSweet;none
2623;SCHEMBL13657753;OC[C@@H]1O[C@@H](O)C(C([C@@H]1O[C@@H]1OC(CO)[C@H]([C@@H](C1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2624;SCHEMBL16349810;OCC1O[C@H](O)[C@H]([C@H](C1O)O)O;Sweet;SuperSweet_BitterSweet;none
2625;SCHEMBL4176008;OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2626;SCHEMBL7534549;OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H]([13CH2]O)[C@@H]([C@@H]([C@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2627;Sodium o-benzosulfimide;[O-]C1=NS(=O)(=O)c2c1cccc2.[Na+];Sweet;SuperSweet_BitterSweet;none
2628;ST51037207;OS(=O)(=O)NC1CCCCC1.[Na];Sweet;SuperSweet_BitterSweet;none
2629;Sucralose;ClC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CCl)O[C@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)Cl;Sweet;SuperSweet_BitterSweet;none
2630;Sucromat Pulver;O=C1[N-]S(=O)(=O)c2c1cccc2.O.O.[Na+];Sweet;SuperSweet_BitterSweet;none
2631;sucrose;OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O;Sweet;SuperSweet_BitterSweet;none
2632;Sweeta;[O-]C1=NS(=O)(=O)c2c1cccc2;Sweet;SuperSweet_BitterSweet;none
2633;Triphenylformazan;c1ccc(cc1)N/N=C(/c1ccccc1)\N=Nc1ccccc1;Sweet;SuperSweet_BitterSweet;none
2634;UNII-4L3WC4P6GF;OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O)O)O.O;Sweet;SuperSweet_BitterSweet;none
2635;UNII-5101OP7P2I;[O-]C1=NS(=O)(=O)c2c1cccc2.[O-]C1=NS(=O)(=O)c2c1cccc2.O.O.O.O.O.O.O.[Ca+2];Sweet;SuperSweet_BitterSweet;none
2636;UNII-83860AQE03;COC(=O)[C@H](NC(=O)[C@H](CC(=O)O)N)Cc1ccccc1;Sweet;SuperSweet_BitterSweet;none
2637;VA10334;COC(=O)[C@@H](NC(=O)[C@H](CC(=O)[O-])[NH3+])Cc1ccccc1;Sweet;SuperSweet_BitterSweet;none
2638;WURCS=1.0/2,1/[12112h|1,5][h1221h]1+1,2+4;OC[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2639;xylitol;OC[C@H](C([C@H](CO)O)O)O;Sweet;SuperSweet_BitterSweet;none
2640;ZINC3830982;OC[C@@H]1O[C@H](O)[C@@H]([C@@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2641;ZINC3830983;OC[C@@H]1O[C@H](O)[C@@H]([C@@H]([C@@H]1O[C@@H]1O[C@@H](CO)[C@@H]([C@@H]([C@@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2642;ZINC3830984;OC[C@@H]1O[C@H](O)[C@@H]([C@@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2643;ZINC3830985;OC[C@@H]1O[C@H](O)[C@@H]([C@@H]([C@@H]1O[C@@H]1O[C@@H](CO)[C@H]([C@@H]([C@@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2644;ZINC4261771;OC[C@@H]1O[C@@H](O)[C@@H]([C@@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@H]([C@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2645;ZINC4261772;OC[C@@H]1O[C@@H](O)[C@@H]([C@@H]([C@@H]1O[C@@H]1O[C@@H](CO)[C@H]([C@H]([C@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2646;ZINC5222455;OC[C@@H]1O[C@H](O)[C@H]([C@@H]([C@H]1O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2647;ZINC5222464;OC[C@@H]1O[C@@H](O)[C@H]([C@@H]([C@H]1O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2648;ZINC5226277;OC[C@H]([C@@H]([C@@H]([C@H](CO)O)O)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O;Sweet;SuperSweet_BitterSweet;none
2649;1p-4p-2Cl-sucrose;OCC1OC(O[C@]2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O;Sweet;SweetenersDB;none
2650;1p-4p-6p-3Cl-sucrose;OCC1OC(O[C@]2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O;Sweet;SweetenersDB;none
2651;1p-6p-2Cl-sucrose;OCC1OC(O[C@]2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O;Sweet;SweetenersDB;none
2652;1p-Cl-sucrose;OCC1OC(O[C@]2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O;Sweet;SweetenersDB;none
2653;3-(aminocarbonyl)-2_4_6-tribromobenzenepropanoic_acid;NC(=O)c1c(Br)cc(Br)c(CCC(=O)O)c1Br;Sweet;SweetenersDB;none
2654;4-1p-2Cl-sucrose;OCC1O[C@@](CCl)(OC2OC(CO)C(Cl)C(O)C2O)C(O)C1O;Sweet;SweetenersDB;none
2655;4-1p-4p-3Cl-sucrose;OCC1OC(O[C@]2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1Cl;Sweet;SweetenersDB;none
2656;4-1p-4p-6p-4Br-sucrose;OCC1OC(O[C@]2(CBr)OC(CBr)C(Br)C2O)C(O)C(O)C1Br;Sweet;SweetenersDB;none
2657;4-1p-4p-6p-4Cl-sucrose;OCC1OC(O[C@]2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1Cl;Sweet;SweetenersDB;none
2658;4-1p-6p-3Br-sucrose;OCC1OC(O[C@]2(CBr)OC(CBr)C(O)C2O)C(O)C(O)C1Br;Sweet;SweetenersDB;none
2659;4-1p-6p-3Cl-sucrose;OCC1OC(O[C@]2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl;Sweet;SweetenersDB;none
2660;4-1p-6p-3F-sucrose;OCC1OC(O[C@]2(CF)OC(CF)C(O)C2O)C(O)C(O)C1F;Sweet;SweetenersDB;none
2661;4-1p-6p-3I-sucrose;OCC1OC(O[C@]2(CI)OC(CI)C(O)C2O)C(O)C(O)C1I;Sweet;SweetenersDB;none
2662;4-4p-6p-3Cl-sucrose;OCC1OC(O[C@]2(CO)OC(CCl)C(Cl)C2O)C(O)C(O)C1Cl;Sweet;SweetenersDB;none
2663;4-6-1p-6p-4Cl-sucrose;OC1C(O[C@]2(CCl)OC(CCl)C(O)C2O)OC(CCl)C(Cl)C1O;Sweet;SweetenersDB;none
2664;4beta_10alpha-dimethyl-1_2_3_4_5_10-hexahydrofluorene-4alpha_6alpha-dicarboxylic_acid;C[C@]1(C(=O)O)CCC[C@@]2(C)c3ccccc3[C@@](O)(C(=O)O)[C@H]12;Sweet;SweetenersDB;none
2665;4-Cl-sucrose;OCC1O[C@@](CO)(OC2OC(CO)C(Cl)C(O)C2O)C(O)C1O;Sweet;SweetenersDB;none
2666;4-F-1p-4p-6p-3Br-sucrose;OCC1OC(O[C@]2(CBr)OC(CBr)C(Br)C2O)C(O)C(O)C1F;Sweet;SweetenersDB;none
2667;4-F-1p-4p-6p-3Cl-sucrose;OCC1OC(O[C@]2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1F;Sweet;SweetenersDB;none
2668;4-galactosyl-kojibiose;OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](CO)O[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;Sweet;SweetenersDB;none
2669;4-O-n-propyl_glycosides_DHC;CCCOc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3O[C@H]3OC(C)C(O)C(O)C3O)cc2O)cc1O;Sweet;SweetenersDB;none
2670;4p-Br-4-1p-6p-3Cl-sucrose;OCC1OC(O[C@]2(CCl)OC(CCl)C(Br)C2O)C(O)C(O)C1Cl;Sweet;SweetenersDB;none
2671;4p-F-4-1p-6p-3Cl-sucrose;OCC1OC(O[C@]2(CCl)OC(CCl)C(F)C2O)C(O)C(O)C1Cl;Sweet;SweetenersDB;none
2672;6-1p-6p-3Cl-sucrose;OC1C(CCl)OC(O[C@]2(CCl)OC(CCl)C(O)C2O)C(O)C1O;Sweet;SweetenersDB;none
2673;6-chloro-tryptophan;NC(Cc1c[nH]c2cccc(Cl)c12)C(=O)O;Sweet;SweetenersDB;none
2674;6p-Cl-sucrose;OCC1OC(O[C@]2(CO)OC(CCl)C(O)C2O)C(O)C(O)C1O;Sweet;SweetenersDB;none
2675;abrusoside_B;COC(=O)C1O[C@H](OC2CC[C@]34C[C@@]35CC[C@@]3(C)[C@@H](C(C)[C@H]6CC=C(C)C(=O)O6)CC[C@@]3(C)[C@H]5CC[C@H]4[C@@]2(C)C(=O)O)C(O[C@H]2OC(CO)C(O)C(O)C2O)C(O)C1O;Sweet;SweetenersDB;none
2676;abrusoside_C;CC1=CC[C@H](C(C)[C@H]2CC[C@@]3(C)[C@H]4CC[C@H]5[C@@](C)(C(=O)O)C(O[C@H]6OC(CO)C(O)C(O)C6O[C@H]6OC(CO)C(O)C(O)C6O)CC[C@@]56C[C@]46CC[C@@]23C)OC1=O;Sweet;SweetenersDB;none
2677;abrusoside_D;CC1=CC[C@H](C(C)[C@H]2CC[C@@]3(C)[C@H]4CC[C@H]5[C@@](C)(C(=O)O)C(O[C@H]6OC(C(=O)O)C(O)C(O)C6O[C@H]6OC(CO)C(O)C(O)C6O)CC[C@@]56C[C@]46CC[C@@]23C)OC1=O;Sweet;SweetenersDB;none
2678;acesulfame_potassium_CH3_CH3;CC1=C(C)C(=O)NS(=O)(=O)O1;Sweet;SweetenersDB;none
2679;acesulfame_potassium_CH3_H;CC1=COS(=O)(=O)NC1=O;Sweet;SweetenersDB;none
2680;acesulfame_potassium_CH3CH2_CH3;CCC1=C(C)OS(=O)(=O)NC1=O;Sweet;SweetenersDB;none
2681;acesulfame_potassium_CH3CH2_H;CCC1=COS(=O)(=O)NC1=O;Sweet;SweetenersDB;none
2682;acesulfame_potassium_CH3CH2CH2_CH3;CCCC1=C(C)OS(=O)(=O)NC1=O;Sweet;SweetenersDB;none
2683;acesulfame_potassium_H_CH3;CC1=CC(=O)NS(=O)(=O)O1;Sweet;SweetenersDB;none
2684;acesulfame_potassium_H_CH3CH2;CCC1=CC(=O)NS(=O)(=O)O1;Sweet;SweetenersDB;none
2685;acesulfame_potassium_H_H;O=C1C=COS(=O)(=O)N1;Sweet;SweetenersDB;none
2686;alanine;C[C@H](N)C(=O)O;Sweet;SweetenersDB;none
2687;albiziasaponin_B;CC1(C)CC2C3=CCC4[C@@]5(C)CCC(OC6OC(COC7OCC(O)C(O)C7O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CC[C@@]4(C)[C@@]3(C)CC(O)[C@]23CC1OC3=O;Sweet;SweetenersDB;none
2688;alitame;C[C@@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)NC1C(C)(C)SC1(C)C;Sweet;SweetenersDB;none
2689;alpha-D-lactose;OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O;Sweet;SweetenersDB;none
2690;alpha-D-Mannopyranose;OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O;Sweet;SweetenersDB;none
2691;alpha-D-Psicofuranose;OC[C@H]1O[C@@](O)(CO)[C@H](O)[C@@H]1O;Sweet;SweetenersDB;none
2692;alpha-D-Tagatopyranose;OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O;Sweet;SweetenersDB;none
2693;alpha-L-Arabinopyranose;O[C@H]1CO[C@@H](O)[C@H](O)[C@H]1O;Sweet;SweetenersDB;none
2694;alpha-L-Rhamnopyranose;C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O;Sweet;SweetenersDB;none
2695;alpha-L-Sorbopyranose;OC[C@@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O;Sweet;SweetenersDB;none
2696;arabinose;O=C[C@@H](O)[C@H](O)[C@H](O)CO;Sweet;SweetenersDB;none
2697;arabitol;OC[C@@H](O)C(O)[C@H](O)CO;Sweet;SweetenersDB;none
2698;asp_1;NC(CC(=O)O)C(=O)NCCc1ccc(F)cc1;Sweet;SweetenersDB;none
2699;asp_10_12;CCCCCC(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2700;asp_100;CCC(=O)OCC(CC)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2701;asp_101;CCC(COC(=O)C(C)C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2702;asp_102;CCC(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2703;asp_103;CCC(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2704;asp_104;CC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)O;Sweet;SweetenersDB;none
2705;asp_105;CCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)O;Sweet;SweetenersDB;none
2706;asp_106;CC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C;Sweet;SweetenersDB;none
2707;asp_107;CCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C;Sweet;SweetenersDB;none
2708;asp_108;CC(C)C(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C;Sweet;SweetenersDB;none
2709;asp_109;CC(C)C(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2710;asp_110;CC(C)C(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2711;asp_112;CCCC(COC(C)=O)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2712;asp_122;COC(=O)C(COC(C)=O)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2713;asp_123;CCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2714;asp_124;CCCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2715;asp_125;COC(=O)C(COC(=O)C(C)C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2716;asp_126;COC(=O)C(COC(=O)C(C)(C)C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2717;asp_129;CC(CC(=O)OC(C)C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2718;asp_130;CCC(C)OC(=O)CC(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2719;asp_131;CC(CC(=O)OC(C)(C)C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2720;asp_132;CC(CC(=O)OC1CCCCC1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2721;asp_134;CCC(C)OC(=O)CCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2722;asp_135;CC(C)(C)OC(=O)CCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2723;asp_136;CCC(CC)OC(=O)CCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2724;asp_137;CCCC(C)OC(=O)CCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2725;asp_138;NC(CC(=O)O)C(=O)NCCC(=O)OC1CCCC1;Sweet;SweetenersDB;none
2726;asp_139;NC(CC(=O)O)C(=O)NCCC(=O)OC1CCCCC1;Sweet;SweetenersDB;none
2727;asp_14;CCOCCC(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2728;asp_140;CC(C)OC(=O)C(C)CNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2729;asp_141;CC(CNC(=O)C(N)CC(=O)O)C(=O)OC(C)(C)C;Sweet;SweetenersDB;none
2730;asp_142;CC(CNC(=O)C(N)CC(=O)O)C(=O)OC1CCCC1;Sweet;SweetenersDB;none
2731;asp_143;CC(CNC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1;Sweet;SweetenersDB;none
2732;asp_15;CCCCCCC(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2733;asp_153;COC(=O)CC(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2734;asp_154;COC(=O)CCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2735;asp_155;CC(C)OC(=O)CCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2736;asp_156;CCOC(=O)CC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2737;asp_157;COC(=O)C(CC(=O)OC(C)(C)C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2738;asp_159;CCC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2739;asp_16;CCC(Cc1ccccc1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2740;asp_160;COC(=O)C(CO)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2741;asp_161;CCOC(=O)C(CO)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2742;asp_163;CC(C)OC(=O)C(CO)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2743;asp_164;CCCCOC(=O)C(CO)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2744;asp_165;CC(C)COC(=O)C(CO)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2745;asp_166;NC(CC(=O)O)C(=O)NC(CO)C(=O)OC1CCCCC1;Sweet;SweetenersDB;none
2746;asp_17;CC(C)(Cc1ccccc1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2747;asp_171_178;CCCCOC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O;Sweet;SweetenersDB;none
2748;asp_173_180;CC(O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1;Sweet;SweetenersDB;none
2749;asp_18;CCCCCC(C)C(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2750;asp_181;CCCOC(=O)C(CC)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2751;asp_182;COC(=O)CNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2752;asp_183;CCCOC(=O)CNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2753;asp_184;NC(CC(=O)O)C(=O)NCC(=O)OC1CCCCC1;Sweet;SweetenersDB;none
2754;asp_185;CCCOC(=O)C(CCC)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2755;asp_186;COC(=O)C(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2756;asp_187;CCOC(=O)C(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2757;asp_188;CCCOC(=O)C(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2758;asp_189;CC(C)OC(=O)C(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2759;asp_19;COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2760;asp_190;CCCCOC(=O)C(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2761;asp_191;CCCCCOC(=O)C(C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2762;asp_192;CCC(NC(=O)C(N)CC(=O)O)C(=O)OC(C)C;Sweet;SweetenersDB;none
2763;asp_193;CC(C)OC(=O)C(NC(=O)C(N)CC(=O)O)C(C)C;Sweet;SweetenersDB;none
2764;asp_194;CCCC(NC(=O)C(N)CC(=O)O)C(=O)OC(C)C;Sweet;SweetenersDB;none
2765;asp_197;COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(C)(C)C;Sweet;SweetenersDB;none
2766;asp_2;NC(CC(=O)O)C(=O)NCCC1CCCCC1;Sweet;SweetenersDB;none
2767;asp_20;COC(=O)C(CC1CCCCC1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2768;asp_200;COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCC1;Sweet;SweetenersDB;none
2769;asp_201;COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1;Sweet;SweetenersDB;none
2770;asp_204;COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCC(C)C1;Sweet;SweetenersDB;none
2771;asp_207;COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CC(C)CC(C)(C)C1;Sweet;SweetenersDB;none
2772;asp_21;CCCCC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2773;asp_211;CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(C)(C)C;Sweet;SweetenersDB;none
2774;asp_212;CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCC1;Sweet;SweetenersDB;none
2775;asp_213;CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1;Sweet;SweetenersDB;none
2776;asp_214;CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1C;Sweet;SweetenersDB;none
2777;asp_215;CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(=O)OC1CC2CC[C@]1(C)C2(C)C;Sweet;SweetenersDB;none
2778;asp_22;COC(=O)C(CCC(C)C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2779;asp_23;CCCCCC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2780;asp_24;CCCCCCC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2781;asp_3;CC(Cc1ccccc1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2782;asp_4;Cc1ccc(CC(C)NC(=O)C(N)CC(=O)O)cc1;Sweet;SweetenersDB;none
2783;asp_5;CC(COc1ccccc1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2784;asp_52;COC(=O)C(CCCCNOC(C)=O)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2785;asp_53;COC(=O)C(CCCNOC(C)=O)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2786;asp_55;COC(=O)C(C)CC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2787;asp_58;COC(=O)CCCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2788;asp_6;CC(Cc1ccc(F)cc1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2789;asp_60;CCSCC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2790;asp_61;CCCSCC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2791;asp_62;COC(=O)C(CSC(C)C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2792;asp_63;COC(=O)C(CSC(C)(C)C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2793;asp_64;COC(=O)C(COC(C)(C)C)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2794;asp_65;COC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2795;asp_66;COC(=O)CCC(NC(=O)C(N)CC(=O)O)C(=O)OC;Sweet;SweetenersDB;none
2796;asp_67;CC(=O)OCCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2797;asp_68;CCC(=O)OCCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2798;asp_69;CCCC(=O)OCCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2799;asp_7;CC(Cc1ccco1)NC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2800;asp_70;CC(C)C(=O)OCCNC(=O)C(N)CC(=O)O;Sweet;SweetenersDB;none
2801;asp_71;NC(CC(=O)O)C(=O)NCCOC(=O)C1CC1;Sweet;SweetenersDB;none
2802;asp_72;NC(CC(=O)O)C(=O)NCCOC(=O)C1CCC1;Sweet;SweetenersDB;none
